"","GeneID","Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","MDPL_BW_1","MDPL_BW_2","MDPL_BW_3","MDPP_BW_1","MDPP_BW_2","MDPP_BW_3"
"18378","Funhe2EKm034170","CDP-diacylglycerol--serine O-phosphatidyltransferase (85%M)",1613.97912394518,-4.52519056541024,0.570939194740533,-7.92587127858115,2.26552178080149e-15,5.71953628781143e-11,118.991868395758,48.5120665400857,76.6730962662438,1148.80208837084,1545.49647454909,2961.45514405258
"14425","Funhe2EKm026204","Proteasome (prosome, macropain) 26S subunit, non-ATPase, 4b (100%P)",2402.98728622645,-4.1965108258855,0.538689222141033,-7.79022607730365,6.68894024127693e-15,8.44344926656387e-11,335.823807430906,432.724720910483,315.922791227918,7026.61105370338,8447.88986918826,4439.5432540566
"22872","Funhe2EKm042667","Creatine kinase S-type, mitochondrial (50%U)",5257.65548249049,-9.50676879410547,1.23607998561495,-7.69106279912447,1.45917785612108e-14,1.22794680518776e-10,26.8502832391614,27.3620885329176,4.68514311009601,26701.0420840715,6751.86667625984,10955.6047887671
"11032","Funhe2EKm020406","Serine protease inhibitor Kazal-type (95%M)",546.015099938585,-4.20531897254126,0.647062062252885,-6.49909679127153,8.08036633142088e-11,5.09992321007629e-07,36.2669331583489,54.3071685351783,35.1726855143539,1051.706225951,496.717403035195,782.686441773275
"20034","Funhe2EKm036667","Transient receptor potential cation channel subfamily M member 2 (83%M)",129.70780738986,4.83626673251005,0.900068655864807,5.37321981050795,7.73429488612933e-08,0.000244075010869026,271.034693823307,289.833414571691,153.752261445722,4.87470325556173,12.8892814668213,7.1271031892193
"7752","Funhe2EKm012958","Stonustoxin subunit beta (100%P)",1244.96068336441,-3.34268864342595,0.644411332111079,-5.18719717804367,2.13482664132561e-07,0.000449131944890887,92.4902853616431,229.987486071193,312.120519198998,2032.42263648619,2351.81719374636,1993.7230170688
"10797","Funhe2EKm019840","Selenium-binding protein (100%M)",231.208003713584,-3.14988330373424,0.62591677834071,-5.03243148727296,4.84297709163687e-07,0.000815105331036429,66.6361832809998,86.6399283352513,75.4337956547069,716.155930481901,536.84889659759,776.340240475644
"4498","Funhe2EKm006972","Sialoadhesin (18%U)",28.1554319511199,3.12145108442199,0.627803459265322,4.97201956815405,6.6259015442608e-07,0.00104548443991505,67.1995093057187,106.202120809529,18.3517964060651,11.1954043954017,2.83530265086018,9.4135631013907
"7854","Funhe2EKm013135","GTPase IMAP family member 8 (60%M)",187.854166060756,2.67017352262242,0.541720733722121,4.92905911921787,8.2626570834722e-07,0.00113560055395655,216.799846129753,338.053246695179,85.8424173773622,21.9575398317193,55.4785875729629,23.7705640016715
"10187","Funhe2EKm018319","Zinc finger protein 226 (88%T)",42.2993132941213,-3.82500156725061,0.77705140761037,-4.92245626195243,8.54646697503541e-07,0.00113560055395655,8.17786402760373,11.234238922274,8.39141643206045,250.991475618515,116.450845773189,29.5054433115912
"20737","Funhe2EKm037743","Containing a vitamin K-dependent carboxylation/gamma-carboxyglutamic GLA) domain protein ( Zgc:101601 (100%P)",124.649228370284,3.86308972332192,0.782773423390551,4.93513142869504,8.00968041986602e-07,0.00113560055395655,184.471963660037,142.497528816003,393.929757579507,19.9562041641119,3.20447890788117,26.4442649578661
"5874","Funhe2EKm009332","Nuclear pore complex-interacting protein (86%C)",62.1743622098627,5.02090988714469,1.03150673919584,4.86754928141233,1.12990661102532e-06,0.00131760339732926,29.4175810026487,168.41654828924,184.152987529202,3.82889771826125,4.37015227199846,3.42688940617615
"5764","Funhe2EKm009150","Serine protease 53 (69%T)",54.9456278317571,2.93633130500564,0.612736681369049,4.79215851488593,1.64996455682531e-06,0.00166620020806447,59.2308064542142,183.653898377944,119.05434889076,19.233982131599,12.6817071175745,15.3171444547649
"11154","Funhe2EKm020762","Ig heavy chain V-III region VH26 (56%M)",49.1370581511827,3.52798651258919,0.742636094632602,4.75062623280458,2.02787656030023e-06,0.00191316661289338,332.274116904654,75.5722658892626,159.063947452465,11.3132349410279,4.81970581074113,34.3385570709452
"7564","Funhe2EKm012489","Uncharacterized protein",78.8583576429147,2.65436741028829,0.586009663551572,4.52956252325468,5.9105942015241e-06,0.00438879003563757,129.792694717737,84.7213287371206,158.012192047337,31.7419221753463,13.501528622608,13.0799478420463
"20831","Funhe2EKm037868","Uncharacterized protein (97%M)",1476.86923264153,-2.03797580691939,0.456788882832008,-4.46152672167569,8.13777963511531e-06,0.0055526049910303,624.727667201524,839.327536533489,331.704793870199,2439.73785425674,2825.28649066705,2146.05122608064
"10334","Funhe2EKm018676","Butyrophilin subfamily 2 member A23 (72%M)",192.819587986007,3.12258283976134,0.704104200967327,4.43483057688252,9.21447254545058e-06,0.00612180457585382,165.959603893853,118.039566612657,390.959313545567,34.2491605919439,1.7094951967515,40.8404638102568
"242","Funhe2EKm000320","Vesicle-associated membrane protein (82%P)",65.7927580358311,2.52962869297527,0.571205099648853,4.42858212318194,9.48546011944647e-06,0.00614025451732168,172.754873350648,155.483620019256,118.318688064006,18.7645172577578,39.3646853845357,19.5489790119585
"1680","Funhe2EKm002405","Epstein-Barr nuclear antigen (100%M)",1091.65921751577,-3.48727289238,0.796931922288679,-4.37587301355056,1.20947415429726e-05,0.00693963284077015,216.833367016279,189.440751156896,286.516917907769,1936.90360114904,4149.96655483851,1656.25871299032
"15674","Funhe2EKm027976","Serine/threonine-protein kinase kinX (100%T)",60.5179188474867,2.44638825082095,0.562626832030426,4.34815424993568,1.37288037447123e-05,0.00770216398531126,130.995754311775,145.815914563817,54.7526402822195,12.9169688208188,28.7870089761858,19.934732907198
"8599","Funhe2EKm014755","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 (100%P)",52.6293079813713,4.27810812623859,0.987478228595338,4.33235690909771,1.47521539646704e-05,0.00809636693461021,318.355121168098,34.3443580890059,54.948234503745,4.72355274357784,5.93772482547565,10.8371523877801
"5246","Funhe2EKm008232","Uncharacterized protein",23.2727739716257,-2.97608314186479,0.693530938111423,-4.29120458557921,1.77706496832453e-05,0.00879682003731787,3.55340505192018,5.20790236151163,9.26745236724034,20.5515535536052,49.8023230888821,49.0749891435072
"19017","Funhe2EKm035157","protein NLRC3 (90%M)",29.8397930495636,-3.71245092600384,0.864896005244783,-4.29236683195587,1.76778574850739e-05,0.00879682003731787,6.85946332366446,5.44887867710148,4.91970995112751,4.75572954547753,139.640703334083,89.5414685574515
