"","GeneID","Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","MDPL_FW_1","MDPL_FW_2","MDPL_FW_3","MDPL_transfer_1","MDPL_transfer_2","MDPL_transfer_3","MDPP_FW_1","MDPP_FW_2","MDPP_FW_3","MDPP_transfer_1","MDPP_transfer_2","MDPP_transfer_3"
"12214","Funhe2EKm021305","52 kDa repressor of the inhibitor of the protein kinase (100%T)",226.672846283097,4.36653229100261,0.755039213952745,5.78318610518671,7.3298894088607e-09,0.000165706809866114,38.70305487034,48.800900050282,29.1394562785236,894.7256556627,391.564564748981,128.275329586802,300.65682784952,193.359141071989,252.679366474898,145.656692166029,163.107242473793,133.405924163305
"8111","Funhe2EKm012746","Coagulation factor VIII (89%Z)",1597.7193981439,-4.64069699520431,0.928414373764248,-4.99851911640343,5.7772280153444e-07,0.00334424773337025,4900.88366265343,477.381745045275,8374.1064693819,278.367328337079,228.811937035927,262.02950740211,805.620733942268,365.745980130634,770.473586481743,535.794082887283,1018.58755691081,1154.83018751837
"21438","Funhe2EKm036869","Hemoglobin subunit alpha (99%M)",1129.01739023285,-4.4914145165657,0.891481609541233,-5.03814601276749,4.70062801838212e-07,0.00334424773337025,3885.75767116583,330.496220676512,5297.14703791405,262.732491901017,163.117142188992,266.488350706003,503.874282863695,331.984350620901,431.658134278626,518.694752599647,661.441953466603,894.816294412351
"19788","Funhe2EKm034489","Spectrin repeat containing, nuclear envelope (100%P)",791.416141463949,1.3576075025126,0.276377267365168,4.91215328762493,9.00815819783874e-07,0.00407294864757081,600.285485567871,519.371884167717,581.515128712666,962.164057302927,1140.56858322658,860.503879794453,871.788692761708,819.578603082957,1185.41459527409,704.024272724429,623.61712255587,628.161392396123
"7329","Funhe2EKm011289","Interferon-induced protein 44 (100%P)",70.2306910995437,-4.77061328539596,0.986637196995769,-4.83522545057301,1.32994816638796e-06,0.00429516259964751,117.82729909834,358.060311278059,130.794111281329,4.22103698875818,13.7378106894726,24.9832245499015,16.1878746279459,34.9461767374898,13.72529046328,79.0126095272286,24.3144603077973,24.9580876449231
"23205","Funhe2EKm039249","Translocated promoter region, nuclear basket protein (63%P)",146.458060827367,-3.17793554566135,0.67193398490118,-4.72953536667552,2.25034252780516e-06,0.00635918669076141,181.087471901066,226.05292977421,213.736893807465,39.2436007714483,55.5495196108822,65.5528914468634,132.014666657525,71.3547805162427,86.9356668239302,323.712702721762,288.348454420838,73.9071514761703
"331","Funhe2EKm000440","Mesoderm specific transcript (mouse) (99%P)",285.982303554884,-3.77058824762327,0.810234769072256,-4.65369839897233,3.26033594688112e-06,0.00781137599132655,859.911637316351,133.175818900471,1263.42476331403,91.7034291449079,41.9240145920495,62.7016339010466,178.335860945527,118.003187826606,151.609010653999,185.833010759024,168.346223796436,176.819051508156
"23538","Funhe2EKm039724","Uncharacterized protein (85%M)",31.0783274608824,-3.06054923408428,0.659357408714314,-4.64171509053348,3.455290835284e-06,0.00781137599132655,62.2152591419405,73.8015855354302,48.5985541080943,21.9750224382762,12.1689150165805,28.1128872619995,6.83274467796372,15.3033519388499,11.067224033502,29.6158052107393,29.9293525640512,33.3192276031619
"199","Funhe2EKm000248","nei endonuclease VIII 3 (E. coli) (14%P)",554.326469863211,-4.56012855699129,1.04067315754369,-4.3819027366427,1.17647330750418e-05,0.0221637767189559,1570.06257189184,165.632011704374,3318.40518900622,164.976780874883,38.3860270653261,56.9023801928907,265.963224079035,115.344050661913,222.801232846412,283.738757176448,204.736515452476,244.968897406719
"22397","Funhe2EKm038228","Deleted in lung and esophageal cancer protein (100%P)",145.314268242359,-3.03575833536781,0.716957258431066,-4.23422498296625,2.29341255731908e-05,0.0384365089081432,645.906669769672,241.48419993566,293.422809916503,37.4959271425341,62.6045367431964,46.9371744391854,88.94949073978,56.8645202120647,60.3816771215076,52.6251251872731,123.591791611632,33.5072960892943
"3576","Funhe2EKm005192","Ig kappa chain V-I region DEE (100%T)",138.370883498248,-3.27864451389588,0.792628849685335,-4.13641834409316,3.52768806231654e-05,0.0432279949133893,213.339605318008,113.09505438337,240.1276235852,72.2824564827924,59.2543506961613,58.8331051086681,89.7128256096372,68.0304511661027,54.0793565666704,459.522851569316,165.428409831335,66.7445116617093
"11549","Funhe2EKm019817","Placenta-specific gene 8 protein (99%P)",1048.48746408817,1.34867046779767,0.327515744086663,4.11787980317918,3.82374026921581e-05,0.0432279949133893,543.075229780364,732.246468516465,544.379144821486,1161.84711737239,1513.68100477471,1251.26453709923,1134.20826174626,1149.04947947586,1415.17704010527,931.922590820749,858.505670346471,1346.49302419879
"11717","Funhe2EKm020153","Uncharacterized protein",38.0642046757974,-6.37734238775824,1.54870834310001,-4.11784595606483,3.82430175727777e-05,0.0432279949133893,18.7619233691121,90.6749175438366,137.327881884163,2.54795583760939,1.52879268927099,1.6485741402082,22.9878599796948,47.0300731687844,0.858084883578325,50.0429566048256,78.1110706103121,5.25036539817286
"14761","Funhe2EKm025263","5-hydroxytryptamine receptor 4 (100%P)",398.30447982582,-1.25167820677196,0.302632518306244,-4.13596732359523,3.53462490120314e-05,0.0432279949133893,474.958434529862,577.547487315306,501.892577426182,303.916873987285,305.071144676231,296.470827322576,281.031308645544,343.774915343285,344.677438208658,573.584239903998,432.638131348551,344.090379202364
"17154","Funhe2EKm028559","G patch domain-containing protein (100%P)",718.558850199256,-2.81374037229448,0.68053575031148,-4.13459597237418,3.55579637640619e-05,0.0432279949133893,1692.01273356089,439.397546552756,2704.86958334411,292.308993891775,236.394258892013,329.51614779655,516.591065617354,303.930601367849,482.09370594242,449.101893872104,606.754823593236,569.734847960011
"20060","Funhe2EKm034903","Transferrin receptor (p90, CD71) (100%T)",914.018204976999,1.48726972146955,0.356762474244517,4.16879528773031,3.06213859837673e-05,0.0432279949133893,407.442882618954,467.436081302166,546.547058626247,1668.91863839054,1146.81568748542,1287.67011300191,865.53187838906,1029.56541132057,790.304905151855,842.243043503264,704.422340550387,1211.32041938361
"24060","Funhe2EKm040501","Interferon-induced protein 44 (58%U)",14.3405330862068,-6.94622522732146,1.70216163442242,-4.08082586685634,4.48759662730337e-05,0.0483100461683083,17.5027172836338,8.51265452396379,7.21200535217322,0.850688876599922,2.28969229734072,1.99525260474073,1.70311322670175,4.39514085006846,0.862028506427062,14.5852748517351,110.052477523753,2.12535113734478
