,ID,Name
604147,Funhe2EKm041409,Guanine nucleotide-binding protein subunit beta-2 1 (100%U)
604150,Funhe2EKm041410,transmembrane protein 30Ab (95%Z)
604153,Funhe2EKm041411,HNRNPA2B1 protein (90%U)
604156,Funhe2EKm041412,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa (68%P)"
604159,Funhe2EKm041413,Phosphatidylinositide phosphatase SAC1 (58%U)
604162,Funhe2EKm041414,Uncharacterized protein
604165,Funhe2EKm041415,Potassium-transporting ATPase alpha chain 2 (36%U)
604168,Funhe2EKm041416,Elongation factor 2 (39%U)
604144,Funhe2EKm041408,"Alpha-(1,3)-fucosyltransferase (42%U)"
604120,Funhe2EKm041400,"general transcription factor IIA, 1, 19/37kDa (16%T)"
604123,Funhe2EKm041401,transcription elongation factor SPT5 (29%M)
604126,Funhe2EKm041402,Bromodomain-containing protein 7 (21%U)
604129,Funhe2EKm041403,Neuropeptide FF receptor 2 (93%P)
604132,Funhe2EKm041404,caspase activity and apoptosis inhibitor 1 (46%M)
604135,Funhe2EKm041405,RNA 3'-terminal phosphate cyclase protein (100%U)
604138,Funhe2EKm041406,SHC-transforming protein 1 (66%M)
604141,Funhe2EKm041407,Ceramide synthase 1 (49%U)
604201,Funhe2EKm041427,protein NDRG4-B (78%M)
604204,Funhe2EKm041428,vesicle amine transport protein 1 homolog (T californica) (71%Z)
604207,Funhe2EKm041429,tropomodulin 4 (muscle) (97%Z)
604210,Funhe2EKm041430,"NACHT, LRR and PYD domains-containing protein (73%M)"
604213,Funhe2EKm041431,KH-type splicing regulatory protein (45%T)
604216,Funhe2EKm041432,Polyadenylate-binding protein 4 (38%U)
604219,Funhe2EKm041433,makorin ring finger protein 1 (76%T)
604198,Funhe2EKm041426,"discs, large (Drosophila) homolog-associated protein 1a (11%Z)"
604174,Funhe2EKm041418,High mobility group protein B1 (80%U)
604177,Funhe2EKm041419,F-box/WD repeat-containing protein 1A (63%U)
604180,Funhe2EKm041420,Serine/arginine-rich splicing factor 7 (64%U)
604183,Funhe2EKm041421,ER membrane protein complex subunit 7 (66%U)
604186,Funhe2EKm041422,Ig kappa chain V-V region MOPC (33%C)
604189,Funhe2EKm041423,plasma membrane calcium-transporting ATPase 1 (23%M)
604192,Funhe2EKm041424,Diphosphomevalonate decarboxylase (84%U)
604195,Funhe2EKm041425,hydroxyacylglutathione hydrolase (79%P)
604171,Funhe2EKm041417,Cytosolic 5'-nucleotidase 3 (54%U)
604222,Funhe2EKm041434,"asparaginyl-tRNA synthetase 2, mitochondrial (putative) (62%Z)"
604042,Funhe2EKm041374,ubiquitin carboxyl-terminal hydrolase L5 (100%P)
604045,Funhe2EKm041375,ddb1 and cul4 associated factor 7 (100%Z)
604048,Funhe2EKm041376,Sorting nexin-1 (70%U)
604051,Funhe2EKm041377,"Solute carrier family 2, facilitated glucose transporter member (73%M)"
604054,Funhe2EKm041378,Cell division cycle protein 20 (35%U)
604057,Funhe2EKm041379,CD2 molecule (100%P)
604060,Funhe2EKm041380,Tumor susceptibility gene 101 protein (95%U)
604039,Funhe2EKm041373,cathepsin L.1 (96%Z)
604015,Funhe2EKm041365,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (100%Z)
604018,Funhe2EKm041366,Forkhead box O1 b (41%T)
604021,Funhe2EKm041367,sphingomyelin synthase 2 (58%Z)
604024,Funhe2EKm041368,large subunit GTPase 1 homolog (47%M)
604027,Funhe2EKm041369,Apoptotic chromatin condensation inducer in the nucleus (7%U)
604030,Funhe2EKm041370,WD repeat domain phosphoinositide-interacting protein 4 (76%U)
604033,Funhe2EKm041371,Heat shock protein beta-11 (97%P)
604036,Funhe2EKm041372,Forkhead box O1 b (39%Z)
604063,Funhe2EKm041381,"2-oxoglutarate dehydrogenase, mitochondrial (87%S)"
604117,Funhe2EKm041399,N-acetyl-D-glucosamine kinase (81%M)
604066,Funhe2EKm041382,"Malate dehydrogenase, mitochondrial (51%U)"
604096,Funhe2EKm041392,Uncharacterized protein
604099,Funhe2EKm041393,3-keto-steroid reductase (95%S)
604102,Funhe2EKm041394,Guanine nucleotide-binding protein subunit beta-2 1 (98%U)
604093,Funhe2EKm041391,Transport protein Sec16A (18%U)
604108,Funhe2EKm041396,Beta-chimaerin (55%M)
604111,Funhe2EKm041397,TATA box binding protein (70%P)
604114,Funhe2EKm041398,Sorting nexin-32 (99%U)
604105,Funhe2EKm041395,Collagen alpha-6(IV) chain (26%U)
604090,Funhe2EKm041390,Eukaryotic translation initiation factor 3 subunit M (66%U)
604069,Funhe2EKm041383,probable tRNA threonylcarbamoyladenosine biosynthesis protein osgep (100%M)
604072,Funhe2EKm041384,ring finger protein 113B (100%P)
604075,Funhe2EKm041385,G1/S-specific cyclin-D3 (100%T)
604078,Funhe2EKm041386,Podocin (92%Z)
604081,Funhe2EKm041387,Lamin-B1 (45%U)
604084,Funhe2EKm041388,prickle homolog 1 (Drosophila) (42%T)
604087,Funhe2EKm041389,activating signal cointegrator 1 complex subunit 1 (85%P)
604225,Funhe2EKm041435,pim-3 oncogene (97%T)
604360,Funhe2EKm041482,CDC42 binding protein kinase beta (DMPK) (7%Z)
604363,Funhe2EKm041483,Alcohol dehydrogenase 8a (100%C)
604366,Funhe2EKm041484,Nucleosome assembly protein 1 4 (81%U)
604369,Funhe2EKm041485,GMP synthase (glutamine-hydrolyzing) (71%U)
604372,Funhe2EKm041486,PRKCA-binding protein (87%U)
604375,Funhe2EKm041487,BTB/POZ domain-containing protein 2 (70%U)
604378,Funhe2EKm041488,Sideroflexin-3 (100%U)
604381,Funhe2EKm041489,"Actin, cytoplasmic 1 (90%T)"
604357,Funhe2EKm041481,Ubiquitin carboxyl-terminal hydrolase 5 (19%U)
604333,Funhe2EKm041472,"Aldolase C, fructose-bisphosphate, b (99%C)"
604336,Funhe2EKm041473,DJ-1 (99%Z)
604339,Funhe2EKm041474,archain 1 (77%T)
604342,Funhe2EKm041475,IMP (inosine 5'-monophosphate) dehydrogenase 1 (77%T)
604345,Funhe2EKm041476,E3 ubiquitin-protein ligase SIAH1 (99%U)
604348,Funhe2EKm041477,"retinoblastoma binding protein 4, like (87%Z)"
604351,Funhe2EKm041478,nucleoporin 54kDa (63%T)
604354,Funhe2EKm041479,Uncharacterized protein
604414,Funhe2EKm041502,Phosphoribosyl pyrophosphate synthase-associated protein 2 (95%U)
604417,Funhe2EKm041503,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 (86%P)"
604420,Funhe2EKm041504,Testis-specific serine/threonine-protein kinase (35%)
604423,Funhe2EKm041505,Zinc transporter 1 (81%U)
604426,Funhe2EKm041506,Cytokine receptor common subunit gamma (100%P)
